,Name,Summary
0,"St. John's Presbyterian Church (Berkeley, California)","The Julia Morgan Theater, located in the former St. John's Presbyterian Church, is a historic building in Berkeley, California designed by architect Julia Morgan. The wooden building at 2640 College Avenue is built in the American Craftsman style with an exterior wood-shingle finish known as Berkeley Brown Shingle. The church building was desanctified and sold when the congregation moved to a new building in 1974. It now houses the Berkeley Playhouse. The structure is #8 on the city of Berkeley's list of historic landmarks. In 1975 it was added to the National Register of Historic Places (listing #74000507)."
1,Maybeck High School,"Maybeck High School is a coeducational, independent, college preparatory high school located in Berkeley, California."
2,American Baptist Seminary of the West,"The American Baptist Seminary of the West (ABSW) is a theological school affiliated with the American Baptist Churches USA and located in Berkeley, California. It is part of the Graduate Theological Union, a consortium of theological schools and centers in the Berkeley area. Formerly, the ABSW was called Berkeley Baptist Divinity School."
3,"First Church of Christ, Scientist (Berkeley, California)","First Church of Christ, Scientist, Berkeley, now also known as Christian Science Society, Berkeley, is a Christian Science church, located at 2619 Dwight Way at Bowditch Street across the street from People's Park, in the South Berkeley neighborhood of Berkeley, in Alameda County, California.The Christian Science Society, Berkeley continues to meet in their over-100-year-old church building."
4,Berkeley Piano Club,"The Berkeley Piano Club was founded in 1893 by Berkeley women. In 1912 the club built a clubhouse designed by William L. Woollett with an internationally known performance space. It was designated a city historical landmark in 2005. The designation also includes the house, final home of John Galen Howard (his wife was club president from 1911-1913), in an upstairs workshop of which a trigger was designed for the atomic bomb by a Manhattan Project scientist. The landmark designation made the property eligible for state funding and a restoration was also completed in 2005.Nicolas Slonimsky lectured at the clubhouse in 1971.The club published a history for its centennial, The Berkeley Piano Club: One Hundred Years of Harmony
by Mary F. Commanday."
5,People's Park (Berkeley),"People's Park in Berkeley, California is a park located off Telegraph Avenue, bounded by Haste and Bowditch streets and Dwight Way, near the University of California, Berkeley. The park was created during the radical political activism of the late 1960s.The local Southside neighborhood was the scene of a major confrontation between student protesters and police in May 1969. A mural near the park, painted by Berkeley artist O'Brien Thiele and lawyer/artist Osha Neumann, depicts the shooting of James Rector, a student who died from shotgun wounds inflicted by the police on May 15, 1969.While legally the land is the property of the University of California, People's Park has operated since the early 1970s as a free public park. Although open to all, it is often viewed as a daytime sanctuary for Berkeley's low income and large homeless population who, along with others, receive meals from East Bay Food Not Bombs. Nearby residents, and those who try to use the park for recreation, sometimes experience conflict with the homeless people."
6,Caffe Mediterraneum,"Caffè Mediterraneum, often referred to as Caffè Med or simply the Med, was a café located on Telegraph Avenue in Berkeley, California, US, near the University of California, Berkeley. The Med was a landmark of Telegraph Avenue history, ""listed for years in European guidebooks as 'the gathering place for 1960s radicals who created People's Park'"" and as of 2009 described in Fodor's guidebook as ""a relic of 1960s-era café culture"". It was located at 2475 Telegraph Avenue, between Dwight Way and Haste Street."
7,The Chandler Building,"The Chandler Building (sometimes called the Chandler Apartments) is a historic building at the corner of Dwight Way and Telegraph Avenue in Berkeley, California. It is 4 stories tall. It was built in the 1920s.
The building is the featured setting of a 2002 mystery novel The Chandler Apartments by Owen Hill, who wrote the book while living there.  The building is currently unoccupied as a result of a fire on 22 November 2015.
It is the former residence of novelist Jonathan Lethem."
8,Joshuya Brasserie,"Joshuya Brasserie was a modern sushi brasserie that served edo-style sushi, in addition to California style tapas with contemporary American influences. Joshuya Brasserie was the first restaurant created under Kwon Hospitality Group. The restaurant was located in Berkeley, California, in the San Francisco Bay Area. The owner and Executive Chef of Joshu-ya was Jason Kwon. The restaurant emphasized sustainable and seasonally driven food.
Located in the Telegraph Avenue Shopping District, Joshuya Sushi was one of the oldest landmark restaurants in the Bay Area. Notable honors in 2014 include Best Sushi by the Daily Californian; Top Ten Sushi Restaurants in the Berkeley by Yelp; Diner’s Choice Award for Best Small Plates by OpenTable; Top 10 Best Burger in the Bay Area by Zagat Guide."
9,Piedmont Avenue (Berkeley),"Piedmont Avenue is a street in the city of Berkeley, California. It is the major street through the University of California, Berkeley's fraternity and sorority area. The street was originally named Piedmont Way.
Piedmont Way was conceived in 1865 by Frederick Law Olmsted, America's foremost landscape architect. As the centerpiece of a gracious residential community close beside the College of California, Olmsted envisioned a roadway that would follow the natural contours of the land and be sheltered from sun and wind by ""an overarching bowery of foliage."" This curvilinear, tree-lined parkway was Olmsted's first residential street design. It has served as the model for similar parkways across the US. This original portion, now located between Gayley Road and Dwight Way, is designated a California Historical Landmark."
